sat_participation_2017,sat_reading_writing_2017,sat_math_2017,sat_total_2017,act_participation_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,act_participation_2018,act_composite_2018,act_english_2018,act_math_2018,act_reading_2018,act_science_2018,sat_participation_2018,sat_reading_writing_2018,sat_math_2018,sat_total_2018
5.0,593,572,1165,100.0,18.9,18.4,19.7,19.4,19.2,100.0,19.1,18.9,18.3,19.6,19.0,6.0,595,571,1166
38.0,547,533,1080,65.0,18.7,19.8,20.4,19.9,19.8,33.0,20.8,19.8,20.6,21.6,20.7,43.0,562,544,1106
30.0,563,553,1116,62.0,18.6,19.8,20.1,19.8,19.7,66.0,19.2,18.2,19.4,19.5,19.2,29.0,577,572,1149
3.0,614,594,1208,100.0,18.9,19.0,19.7,19.5,19.4,100.0,19.4,19.1,18.9,19.7,19.4,5.0,592,576,1169
53.0,531,524,1055,31.0,22.5,22.7,23.1,22.2,22.8,27.0,22.7,22.5,22.5,23.0,22.1,60.0,540,536,1076
11.0,606,595,1201,100.0,20.1,20.3,21.2,20.9,20.8,30.0,23.9,23.9,23.2,24.4,23.5,100.0,519,506,1025
100.0,530,512,1041,31.0,25.5,24.6,25.6,24.6,25.2,26.0,25.6,26.0,24.8,26.1,24.9,100.0,535,519,1053
100.0,503,492,996,18.0,24.1,23.4,24.8,23.6,24.1,17.0,23.2,23.7,23.1,24.5,23.4,100.0,505,492,998
100.0,482,468,950,32.0,24.4,23.5,24.9,23.5,24.2,32.0,23.6,23.7,22.7,24.4,23.0,92.0,497,480,977
83.0,520,497,1017,73.0,19.0,19.4,21.0,19.4,19.8,66.0,19.9,19.2,19.3,21.1,19.5,56.0,550,549,1099
61.0,535,515,1050,55.0,21.0,20.9,22.0,21.3,21.4,53.0,21.4,20.9,20.7,21.2,21.4,70.0,542,522,1064
55.0,544,541,1085,90.0,17.8,19.2,19.2,19.3,19.0,89.0,18.9,18.2,19.0,19.1,19.0,56.0,480,530,1010
93.0,513,493,1005,38.0,21.9,21.8,23.0,22.1,22.3,36.0,22.3,21.9,21.6,23.2,22.1,100.0,508,493,1001
9.0,559,556,1115,93.0,21.0,21.2,21.6,21.3,21.4,43.0,23.9,24.1,23.4,24.2,23.4,99.0,513,506,1019
63.0,542,532,1074,35.0,22.0,22.4,23.2,22.3,22.6,32.0,22.5,21.9,22.3,23.1,22.2,63.0,542,532,1074
2.0,641,635,1275,67.0,21.2,21.3,22.6,22.1,21.9,68.0,21.8,21.0,21.2,22.5,22.0,3.0,634,631,1265
4.0,632,628,1260,73.0,21.1,21.3,22.3,21.7,21.7,71.0,21.6,21.0,21.1,22.3,21.5,4.0,633,631,1265
4.0,631,616,1247,100.0,19.6,19.4,20.5,20.1,20.0,100.0,20.2,19.9,19.7,20.8,20.1,4.0,630,618,1248
4.0,611,586,1198,100.0,19.4,18.8,19.8,19.6,19.5,100.0,19.2,19.0,18.5,19.6,19.1,4.0,615,595,1210
95.0,513,499,1012,8.0,24.2,24.0,24.8,23.7,24.3,7.0,24.0,23.8,23.6,24.7,23.4,99.0,512,501,1013
69.0,536,524,1060,28.0,23.3,23.1,24.2,2.3,23.6,31.0,22.5,22.1,22.0,23.1,22.2,76.0,545,535,1080
76.0,555,551,1107,29.0,25.4,25.3,25.9,24.7,25.4,25.0,25.5,25.5,25.2,25.9,24.7,80.0,562,563,1125
100.0,509,495,1005,29.0,24.1,23.7,24.5,23.8,24.1,22.0,24.4,24.5,23.9,24.7,23.9,100.0,511,499,1011
3.0,644,651,1295,100.0,20.4,21.5,21.8,21.6,21.5,99.0,21.3,20.2,21.4,21.7,21.4,4.0,643,655,1298
2.0,634,607,1242,100.0,18.2,18.1,18.8,18.8,18.6,100.0,18.6,18.2,18.1,18.9,18.6,3.0,630,606,1236
3.0,640,631,1271,100.0,19.8,19.9,20.8,20.5,20.4,100.0,20.0,19.5,19.7,20.5,20.0,4.0,633,629,1262
10.0,605,591,1196,100.0,19.0,20.2,21.0,20.5,20.3,100.0,20.0,18.7,19.9,20.7,20.0,10.0,606,592,1198
3.0,629,625,1253,84.0,20.9,20.9,21.9,21.5,21.4,100.0,20.1,19.4,19.8,20.4,20.1,3.0,629,623,1252
26.0,563,553,1116,100.0,16.3,18.0,18.1,18.2,17.8,100.0,17.7,16.6,17.8,18.0,17.9,23.0,574,566,1140
96.0,532,520,1052,18.0,25.4,25.1,26.0,24.9,25.5,16.0,25.1,25.1,24.7,25.6,24.4,96.0,535,528,1063
70.0,530,526,1056,34.0,23.8,23.8,24.1,23.2,23.9,31.0,23.7,23.8,23.6,24.0,23.0,82.0,547,547,1094
