State,Participation,Evidence-Based Reading and Writing,Math,Total
Alabama,5%,593,572,1165
Alaska,38%,547,533,1080
Arizona,30%,563,553,1116
Arkansas,3%,614,594,1208
California,53%,531,524,1055
Colorado,11%,606,595,1201
Connecticut,100%,530,512,1041
Delaware,100%,503,492,996
District of Columbia,100%,482,468,950
Florida,83%,520,497,1017
Georgia,61%,535,515,1050
Hawaii,55%,544,541,1085
Idaho,93%,513,493,1005
Illinois,9%,559,556,1115
Indiana,63%,542,532,1074
Iowa,2%,641,635,1275
Kansas,4%,632,628,1260
Kentucky,4%,631,616,1247
Louisiana,4%,611,586,1198
Maine,95%,513,499,1012
Maryland,69%,536,52,1060
Massachusetts,76%,555,551,1107
Michigan,100%,509,495,1005
Minnesota,3%,644,651,1295
Mississippi,2%,634,607,1242
Missouri,3%,640,631,1271
Montana,10%,605,591,1196
Nebraska,3%,629,625,1253
Nevada,26%,563,553,1116
New Hampshire,96%,532,520,1052
New Jersey,70%,530,526,1056
New Mexico,11%,577,561,1138
New York,67%,528,523,1052
North Carolina,49%,546,535,1081
North Dakota,2%,635,621,1256
Ohio,12%,578,570,1149
Oklahoma,7%,530,517,1047
Oregon,43%,560,548,1108
Pennsylvania,65%,540,531,1071
Rhode Island,71%,539,524,1062
South Carolina,50%,543,521,1064
South Dakota,3%,612,603,1216
Tennessee,5%,623,604,1228
Texas,62%,513,507,1020
Utah,3%,624,614,1238
Vermont,60%,562,551,1114
Virginia,65%,561,541,1102
Washington,64%,541,534,1075
West Virginia,14%,558,528,1086
Wisconsin,3%,642,649,1291
Wyoming,3%,626,604,1230
